;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[00:32:03.480 --> 00:32:07.720]   We're spreading on the shang high subway via airdrop
[00:32:08.920 --> 00:32:09.960]   so
[00:32:09.960 --> 00:32:12.440]   uh chinese government surely knows that this is
[00:32:12.440 --> 00:32:15.240]   This is you know, what's going on?
[00:32:15.240 --> 00:32:17.800]   I don't think they're turning off any of the senate's down to ten minutes, right?
[00:32:17.800 --> 00:32:21.560]   So you can keep on opening up shutting it right if you're sitting there. It's not like you don't have it
[00:32:21.560 --> 00:32:24.120]   It's not like they just disabled it. It just means inconvenient
[00:32:24.120 --> 00:32:28.680]   Yeah, I think I think I do think it's a good feature but the question is that we've
[00:32:28.680 --> 00:32:34.120]   A big thing is what is your credibility? What is your track record? So when apple
[00:32:35.240 --> 00:32:40.520]   When apple it turns out that apple has been actually collecting private information through through the app store
[00:32:40.520 --> 00:32:47.480]   In a way that they didn't say that they were doing so apple has such a good record track record on privacy that i'm willing to wonder
[00:32:47.480 --> 00:32:51.640]   Was this just a bug was this something that but with this something that they really didn't intend
[00:32:51.640 --> 00:32:54.840]   I'm not willing to believe given apples track record that
[00:32:54.840 --> 00:32:58.440]   Excuse me without hard hard evidence that this was hey
[00:32:58.440 --> 00:33:04.440]   We intend to deceive people into thinking that this is a privacy safe place and it is actually not however
[00:33:05.000 --> 00:33:07.000]   At the same by the same rule
[00:33:07.000 --> 00:33:11.720]   Their track record with china means that i'm not going to dismiss the idea that this was done
[00:33:11.720 --> 00:33:18.600]   We're moved to up or expedited at the request of the chinese government given that they have a really cozy relationship with china
[00:33:18.600 --> 00:33:20.920]   We've talked about it a lot. We don't have to talk about it all over again
[00:33:20.920 --> 00:33:25.640]   But I have to really i'm not i'm not saying that this i believe this to be the case
[00:33:25.640 --> 00:33:30.760]   I'm saying that i'm not going to be skip i'm going to be skeptical about it, but i'm not going to dismiss it
[00:33:30.760 --> 00:33:34.600]   This is something that apple i think would definitely do it's quite a coincidence
[00:33:34.680 --> 00:33:36.680]   Let's just put it that way
[00:33:36.680 --> 00:33:38.840]   Also, these protests has been boiling over for a couple of months now
[00:33:38.840 --> 00:33:42.200]   Well, that's the point bridge man was october 19th or in october
[00:33:42.200 --> 00:33:45.000]   So it was after bridge man after
[00:33:45.000 --> 00:33:49.720]   trains in shang-hy you know subway in shang-hy was airdrop was used so
[00:33:49.720 --> 00:33:56.360]   You know it was probably at that point i'm it doesn't seem unreasonable to think that chinese government might have gone to apple and say
[00:33:56.360 --> 00:33:59.240]   Can you suppress this court sports out their app was removed
[00:33:59.240 --> 00:34:02.840]   from china at china's request
[00:34:03.720 --> 00:34:07.640]   At the height of the 2019 protests in hong-kong because we don't need
[00:34:07.640 --> 00:34:10.680]   We don't need any thoughts about like advanced notice
[00:34:10.680 --> 00:34:16.360]   Obviously bajig knows that this stuff is going to keep happening and they probably saw
[00:34:16.360 --> 00:34:22.920]   It being used in a certain way and went to apple and said, you know, we have a problem with this and we're going to make this a
[00:34:22.920 --> 00:34:26.120]   uh, you know, we're going to make this a rule or you're you're going to be
[00:34:26.120 --> 00:34:29.000]   Out we're going to be unhappy if you don't do this
[00:34:29.000 --> 00:34:32.760]   My guess is how it went down is that apple said, you know
[00:34:33.560 --> 00:34:37.000]   Actually, this feature doesn't make sense the way it's built and we have an idea
[00:34:37.000 --> 00:34:42.200]   We just to let it only be on we can't turn it off permanently because that doesn't make sense for our users
[00:34:42.200 --> 00:34:47.880]   But we what about a timeout and we'll put that in the next version of the os is probably how it went down and then
[00:34:47.880 --> 00:34:51.880]   My guess is then china was like how about you put it in now
[00:34:51.880 --> 00:34:54.280]   And they're like, uh, okay
[00:34:54.280 --> 00:34:57.640]   We'll put it in now for china, but everybody else we're going to test it and work on it more
[00:34:57.640 --> 00:35:03.320]   And that's my guess is that it was not about presaging anything other than knowing that inevitably something else would come up
[00:35:03.640 --> 00:35:05.640]   And that this will be an issue and so
[00:35:05.640 --> 00:35:10.440]   Probably it's something like that that it is the weird thing is only in china right now
[00:35:10.440 --> 00:35:13.800]   Right because it does make sense actually as a feature change, but
[00:35:13.800 --> 00:35:20.760]   Why did it get rolled out in china faster? And my guess there is that china said, uh, we don't want you to wait
[00:35:20.760 --> 00:35:22.840]   We want you to do this now. Yeah
[00:35:22.840 --> 00:35:27.640]   Uh, and and it just points out how difficult it is to suppress dissent
[00:35:27.640 --> 00:35:31.640]   Uh because there are other ways to send is like water and there will be other ways
[00:35:31.800 --> 00:35:36.840]   It's too bad that american companies are cooperating with the chinese regime in this but yeah
[00:35:36.840 --> 00:35:41.160]   Our government has not exactly stood up to say we support you either
[00:35:41.160 --> 00:35:47.720]   You know, it's a very delicate balancing act. I think that china is also, you know, they're they may be at their peak
[00:35:47.720 --> 00:35:51.080]   Like i got i hope so i hope so i hope so
[00:35:51.080 --> 00:35:53.800]   The thing is is that they're you know and this comes down to i mean
[00:35:53.800 --> 00:35:57.640]   It's just a i think it's going to be really fast than anything to see over the next 10 years
[00:35:58.200 --> 00:36:01.800]   Um, and hopefully not horrifying because china may come apart
[00:36:01.800 --> 00:36:03.800]   You know like it may come apart that could be bad
[00:36:03.800 --> 00:36:05.080]   A lot of people could be bad
[00:36:05.080 --> 00:36:10.040]   There's a lot of groups of people that don't like each other that they've held together with growth and force, right?
[00:36:10.040 --> 00:36:15.080]   And when that growth, you know stops, which is about what what it's about to do
[00:36:15.080 --> 00:36:21.880]   I mean they're overtures towards taiwan their issues with covid. They're all those things are pushing country companies
[00:36:21.880 --> 00:36:25.960]   Out of the country, you know, and so it's this isn't something that's going to happen
[00:36:26.120 --> 00:36:28.120]   I mean they're having protests right now
[00:36:28.120 --> 00:36:32.760]   But the the idea of putting all your eggs into a chinese basket is
[00:36:32.760 --> 00:36:36.680]   Over like, you know, like no one's no one's thinking that that's a possibility anymore
[00:36:36.680 --> 00:36:42.520]   And everyone's thinking about how do we diversify i mean even even cook has said we don't think that this is an optimal situation
[00:36:42.520 --> 00:36:45.320]   Three years from now we'll be sitting here and it'll be clear
[00:36:45.320 --> 00:36:49.320]   That you know it took a while but they moved out it's going to take a decade
[00:36:49.320 --> 00:36:51.160]   But and i don't think they're going to move out completely
[00:36:51.160 --> 00:36:54.200]   But i think that they are going to get to a point i think that everybody knows
[00:36:54.760 --> 00:36:58.840]   With what we saw in Ukraine and what we what we're seeing in taiwan that everybody knows nobody
[00:36:58.840 --> 00:37:04.040]   Once all their eggs in that basket and that's going to be very very expensive for china for people for them too
[00:37:04.040 --> 00:37:08.840]   You know, it's it is a uh, it's as much it's it's as foolish a move that taiwanese
[00:37:08.840 --> 00:37:13.320]   Move is as foolish for china as elan musk's is towards apple and bine twitter
[00:37:13.320 --> 00:37:20.280]   Is that they're just they're burning themselves up for no reason, you know, like, you know, and and that it's just a really it's a crazy thing to watch
[00:37:20.440 --> 00:37:26.520]   When i was in china in 2009 touring around i talked to our guide who spoke english but lived in china
[00:37:26.520 --> 00:37:33.160]   And i said boy i really feel like this is going to be the chinese century that china is uh is doing everything right
[00:37:33.160 --> 00:37:40.280]   They said oh no no you don't see the economic problems underlying all of this and he was right 10 years 12 30 years
[00:37:40.280 --> 00:37:42.280]   Yeah, their population is so upside down
[00:37:42.280 --> 00:37:46.360]   They don't have any because the whole thing one child per couple the one child thing was
[00:37:47.000 --> 00:37:51.160]   Potentially the most disastrous thing that any government has ever done in the history of governments
[00:37:51.160 --> 00:37:55.800]   Because they really underscores these whole things i know centrally manage this stuff, right?
[00:37:55.800 --> 00:38:01.800]   It doesn't work every time you have a five-year plan, you know, uh, we're gonna produce grain here this much
[00:38:01.800 --> 00:38:07.320]   There's many tractors there it always fails one child only it always fails the the uh, the
[00:38:07.320 --> 00:38:09.720]   COVID the zero-covid policy
[00:38:09.720 --> 00:38:13.320]   Has been a disaster it turns out it seemed like a good idea at the time
[00:38:13.560 --> 00:38:17.160]   But central completely central control seems like a bad idea in the long run
[00:38:17.160 --> 00:38:22.600]   I mean the talking about the zero-covid thing which has really killed the that's what killed the apple factories
[00:38:22.600 --> 00:38:28.200]   Uh, is that policy both in in the spring for the mac and now for the iphone pro but
[00:38:28.200 --> 00:38:35.560]   The the underlying failure there is in the chinese health care system because the truth is without the zero-covid policy
[00:38:35.560 --> 00:38:41.720]   So many people would get covid that because so many people in china still haven't been fully vaccinated
[00:38:41.800 --> 00:38:45.400]   Well and the vaccines that they were riding are not effective. Yeah, they're
[00:38:45.400 --> 00:38:50.360]   They would have a disaster a human humanitarian disaster if they didn't have the zero-covid policy
[00:38:50.360 --> 00:38:53.400]   But the zero-covid policy is causing people to be upset
[00:38:53.400 --> 00:39:00.440]   But the truth is that it's the underlying factor is that their health care system and they're and getting the vaccine out to people
[00:39:00.440 --> 00:39:06.280]   Has completely failed and then you know, again, you're a centralized planning nation and uh
[00:39:06.280 --> 00:39:11.080]   For whatever reason that didn't happen and now they're caught between civil unrest
[00:39:11.480 --> 00:39:15.640]   Because of the policy and potentially, uh, you know, a mass
[00:39:15.640 --> 00:39:17.640]   death
[00:39:17.640 --> 00:39:19.240]   in event
[00:39:19.240 --> 00:39:23.480]   If they let uh if they loosen the strings a little bit so that's it's they're in a bad situation now
[00:39:23.480 --> 00:39:24.360]   Yeah
[00:39:24.360 --> 00:39:29.160]   Yeah, and and i bring the conversation back to apple a little bit this really puts
[00:39:29.160 --> 00:39:33.080]   No, no, no, no, no, please
[00:39:33.080 --> 00:39:39.240]   Because because if i if i keep it really if i keep talking about the situation in the human rights situation in china
[00:39:39.320 --> 00:39:43.000]   It's going to be for our show, um, but but only that
[00:39:43.000 --> 00:39:48.120]   The now we're now we're getting video and reports of fox con protesters being beaten by cops
[00:39:48.120 --> 00:39:52.200]   Uh, and this puts apple in the situation where?
[00:39:52.200 --> 00:39:56.200]   Okay, we have they do have to to to an extent
[00:39:56.200 --> 00:39:59.720]   They what they keep saying as their fallback excuse is true
[00:39:59.720 --> 00:40:02.760]   They have to follow whatever the rules are of the countries in which they operate
[00:40:02.760 --> 00:40:07.160]   But now they have the government that they are very cozy with our beating
[00:40:07.560 --> 00:40:15.160]   Workers who are assembling their phones who are protesting because they were promised pay that they did not receive and they were put into hazardous situations
[00:40:15.160 --> 00:40:17.560]   apple is
[00:40:17.560 --> 00:40:23.400]   I've I would be very very disappointed in apple if they let this pitch just sail right by them. They have to they
[00:40:23.400 --> 00:40:30.200]   This is this is this might be the moment that i've been talking about and wondering about for years now
[00:40:30.200 --> 00:40:36.360]   At what point does apple cross that line and say that nope? We can't we're not speculating about this anymore
[00:40:36.360 --> 00:40:40.760]   We're not wondering about this anymore. We're not talking about a nuanced problem in which there are other
[00:40:40.760 --> 00:40:44.600]   In which they are actually also helping economy and helping the workers blah blah blah
[00:40:44.600 --> 00:40:47.320]   If they are so if it turns out that
[00:40:47.320 --> 00:40:55.800]   People who protest at their factories who have limited who have legitimate beefs are being beaten and hurt and rounded up and disappeared by the government
[00:40:55.800 --> 00:41:00.440]   Apple has to say something about that apple has to say that no this is not so this is not
[00:41:00.440 --> 00:41:03.880]   This is not an area in which we feel as though we can ethically do business
[00:41:03.960 --> 00:41:07.800]   They might not have to say it explicitly like that, but they cannot be silent
[00:41:07.800 --> 00:41:13.800]   We can't let them get away with apple will say something in a few years when they have the capacity to make
[00:41:13.800 --> 00:41:19.480]   Elsewhere and then a lot of times they'll wake up and say oh, that was terrible. We could say I mean
[00:41:19.480 --> 00:41:25.080]   A lot of times that you know you make moves over time not not a while, you know, and it's
[00:41:25.080 --> 00:41:28.040]   Um, you know, I think that uh, I know I think that that
[00:41:28.920 --> 00:41:35.720]   What apple will most likely do I mean it's it's a really uncomfortable position for apple and I think that what apple most likely do is reduce china's
[00:41:35.720 --> 00:41:39.960]   Output for their goods down to less than 30 percent in the next 10 years
[00:41:39.960 --> 00:41:46.280]   From almost a hundred, you know, so it's gonna be it's gonna cost china billions, but I don't think apple's going to
[00:41:46.280 --> 00:41:49.160]   Uh, wave any any flags while they do that
[00:41:49.160 --> 00:41:53.240]   When you're trying to sneak out of the out of the building we're trying to sneak out of the building with
[00:41:53.880 --> 00:41:59.080]   Sports you don't yell at them. You just go. I'm gonna go over here for a minute and then you're gone. So according to
[00:41:59.080 --> 00:42:03.720]   I just go ahead. I just quick quickly. I just hope that they are
[00:42:03.720 --> 00:42:11.080]   As interested in protecting the lives and the safety of the people who assemble their incredibly successful product
[00:42:11.080 --> 00:42:16.520]   As they are about protecting their supply chain. So yeah, I agree that the you're absolutely right there
[00:42:16.520 --> 00:42:20.200]   They're gonna make sure that they're gonna be minimizing production in china
[00:42:20.200 --> 00:42:24.760]   Possibly as a part of a legitimate being upset about human rights abuses, but
[00:42:24.760 --> 00:42:27.560]   That turns out that would turn out to be oh well gosh
[00:42:27.560 --> 00:42:35.160]   We're we're selling 10 fewer iPhones than then we then we would have october in November december because of all this one rest
[00:42:35.160 --> 00:42:37.160]   We have to diversify a little bit
[00:42:37.160 --> 00:42:40.600]   At some point it's gonna hurt so bad that they're at some point
[00:42:40.600 --> 00:42:45.560]   I hope that apple would say that look we don't we we want to apply pressure on the government to say
[00:42:45.560 --> 00:42:51.480]   We don't ever ever ever want to see here or one worry about our workers being beaten up for
[00:42:51.480 --> 00:42:53.480]   Any
[00:42:53.480 --> 00:42:58.520]   And I don't think we I don't think I don't think that we should assume that apple is not having those conversations
[00:42:58.520 --> 00:43:00.760]   I think that they're just not having them in public
[00:43:00.760 --> 00:43:05.640]   Yeah, there's a lot of a lot of stuff happens by private is a point there's a point where you have to have these conversations in public
[00:43:05.640 --> 00:43:08.280]   You have to make your statement you can't have people wondering
[00:43:08.280 --> 00:43:13.560]   About what your intentions are whether you were actually on the side of right or wrong
[00:43:13.800 --> 00:43:19.400]   There's a point which you have to give people who are protesting that courage that strength to say that look we are not
[00:43:19.400 --> 00:43:25.080]   We are not we're not fortifying your oppressors. We are on your side here. We are going to try to work
[00:43:25.080 --> 00:43:27.640]   We don't like this. We're making that displeasure known
[00:43:27.640 --> 00:43:32.680]   We are using whatever diplomatic and commercial economic pressure we can make to correct the situation
[00:43:32.680 --> 00:43:37.160]   You are not you are not fighting in a vacuum. You are not surrounded all sides
[00:43:37.160 --> 00:43:40.040]   You have friends and from your friends work at apple
[00:43:40.040 --> 00:43:42.500]   Ming chi chu
[00:43:43.640 --> 00:43:45.640]   says
[00:43:45.640 --> 00:43:47.640]   That wow
[00:43:47.640 --> 00:43:55.000]   iPhone 14 pro max shipments alone for the holiday quarter will be 15 to 20 million units lower than expected
[00:43:55.000 --> 00:43:59.080]   And of course apple orders, I'm sure pretty good at predicting demands
[00:43:59.080 --> 00:44:03.160]   So that's 15 to 20 million people who would want one that aren't going to get one
[00:44:03.160 --> 00:44:08.840]   Uh quo has cut a shipment prediction for the iphone lineup by about 20 for all models
[00:44:10.120 --> 00:44:14.280]   70 to 75 million units versus the market consensus of 90
[00:44:14.280 --> 00:44:16.920]   85 to 90 million units
[00:44:16.920 --> 00:44:22.680]   Uh the average capacity i'm quoting now from nine to five mac which translated to quos
[00:44:22.680 --> 00:44:30.440]   Note to his customers the average capacity utilization rate of jenjo phone iphone plant was only about 20
[00:44:30.440 --> 00:44:36.120]   In november 20 it's expected to prove to 30 to 40
[00:44:36.120 --> 00:44:38.600]   November that's a huge drop
[00:44:38.920 --> 00:44:40.920]   jenjo is called iphone city
[00:44:40.920 --> 00:44:47.080]   Because that's where most iphones are made pegatron and luck share ict have obtained about 10 percent of the
[00:44:47.080 --> 00:44:50.040]   Pro and pro max orders from fox con respectively
[00:44:50.040 --> 00:44:54.040]   But mass shipments will not be until late december at the earliest. So there's scrambling
[00:44:54.040 --> 00:44:56.680]   To find other producers
[00:44:56.680 --> 00:45:03.240]   According to the production recovery progress of the iphone 14 pro series shipments in december was still significantly
[00:45:03.240 --> 00:45:05.880]   lower than expected
[00:45:06.440 --> 00:45:10.040]   He says most of the demand for the iphone 14 pro series will disappear
[00:45:10.040 --> 00:45:18.520]   because uh of recession and so forth he says that as a result and of course this is what he is an analyst
[00:45:18.520 --> 00:45:24.600]   So he's talking to people or investors. He predicts iphones apple's iphone revenue in the fourth quarter of 22
[00:45:24.600 --> 00:45:30.280]   May be significantly lower than the market consensus by 20 or 30 percent apple did warn
[00:45:30.280 --> 00:45:33.000]   That this quarter would not be good
[00:45:33.720 --> 00:45:36.760]   Um, I wonder if though it's worse than they thought it's well
[00:45:36.760 --> 00:45:41.800]   It is they they they made their first warning and then the thing happened and they did the news release that said
[00:45:41.800 --> 00:45:47.000]   We're gonna be down maybe the estimate. Yeah, like six billion even more than they thought they were gonna be
[00:45:47.000 --> 00:45:52.200]   Why watch watch the stock market then flea apple, which is so funny
[00:45:52.200 --> 00:45:56.040]   Because that's just like oh well, I don't get out of apple quick
[00:45:56.040 --> 00:46:00.520]   It's so silly. Maybe an annoying opportunity for people who like apple. I think
[00:46:01.080 --> 00:46:05.400]   Yeah, and and I think that the the hard part is is that they make such good phones
[00:46:05.400 --> 00:46:08.600]   That if things get a little tight, you can go. Oh, I can just go another year or two
[00:46:08.600 --> 00:46:15.320]   Exactly. Well, I have a good phone. Yes, like my kids have my kids have 12, you know, like, you know, and it's it's fine
[00:46:15.320 --> 00:46:20.280]   You know, it's a little phone and it's I don't you know, I like having the new one come on the show
[00:46:20.280 --> 00:46:24.040]   So I like having a new phone to talk about but but I gotta say it's not
[00:46:24.040 --> 00:46:28.440]   Significantly crazy better, you know, then I like the 48 meg
[00:46:29.160 --> 00:46:33.800]   Camera it's quite a luxury, but it is it's a nice luxury
[00:46:33.800 --> 00:46:39.640]   If you can afford it. It only went well the latest iPhone. Yeah, it just feels
[00:46:39.640 --> 00:46:43.960]   It's terrible thing. It is. It's great. But I'm just saying that the hard part you have when it
[00:46:43.960 --> 00:46:49.560]   Resessions, though. I skip it easy to go. Oh, I'm gonna get it's not like there's a feature that'll kill you, you know
[00:46:49.560 --> 00:46:54.120]   In exactly wait for another year or two wait wait through the recession. So that's that's the hard part
[00:46:54.120 --> 00:46:58.840]   They're gonna have it's both that they're so good and that frankly there's not a whole lot more you can
[00:46:59.800 --> 00:47:04.360]   Right, it's just like this. These are all gonna be incremental improvements from now on until we come up with the VR
[00:47:04.360 --> 00:47:08.680]   Glasses or whatever the next thing is that's why they're working so hard on this
[00:47:08.680 --> 00:47:13.560]   Right, we're folding phone that people would actually normal people would actually want to buy and not as a luxury item
[00:47:13.560 --> 00:47:17.000]   You know, I really liked the Samsung flip
[00:47:17.000 --> 00:47:21.240]   Uh because it wasn't that I was unfolding a tablet
[00:47:21.240 --> 00:47:25.560]   It was that I was unfolding a little pocket square that became a normal sized phone
[00:47:25.880 --> 00:47:31.000]   I if apple made that I would buy in a heartbeat the only reason I don't use that is because it's an android phone
[00:47:31.000 --> 00:47:35.960]   It's a Samsung. Yeah, it is. It's funny. It's funny. Andy carluccio who who we were up with you know
[00:47:35.960 --> 00:47:39.160]   He's got that one of the flip loves to see he has a Samsung folding phone
[00:47:39.160 --> 00:47:42.360]   I'm not sure which one it is but every time he opens it up. I'm like, okay, that's kind of cool
[00:47:42.360 --> 00:47:47.560]   It's like that ad where the woman says I love my iPhone and she keeps seeing people flip their phones
[00:47:47.560 --> 00:47:50.680]   And then everywhere she sees flipping and she says I have to have flipping
[00:47:50.680 --> 00:47:55.720]   I don't have to like I keep on telling myself that screen's not gonna last like I just keep on going like I can't
[00:47:55.800 --> 00:48:00.360]   Like it can't get over as I just keep I'm letting I'm just letting Andy just they're a little more delicate
[00:48:00.360 --> 00:48:04.040]   They're a little more delicate. I had the flip phone. I gave it to Stacy Higginbotham
[00:48:04.040 --> 00:48:07.800]   I don't know if she fully appreciates it. I have to ask her if not I'm gonna take it back
[00:48:07.800 --> 00:48:09.480]   Yeah, almost
[00:48:09.480 --> 00:48:11.800]   But that was last years but it it lasted
[00:48:11.800 --> 00:48:17.560]   Yeah, it lasted a year with but not with like always because I still had the iPhone so it wasn't my number one
[00:48:17.560 --> 00:48:21.400]   Phone I had problems with the fold which is the big one
[00:48:22.360 --> 00:48:26.920]   Uh the the the laminate peeled off and stuff there was stuff with that that
[00:48:26.920 --> 00:48:31.320]   Yeah folding screens are still not perfected, which is I'm sure why Apple doesn't make them
[00:48:31.320 --> 00:48:34.040]   The latest generation is really really good
[00:48:34.040 --> 00:48:39.240]   Um, but I still not I agree. I I still not it's not an it's still not a mainstream thing
[00:48:39.240 --> 00:48:41.480]   you have to have a that combination of
[00:48:41.480 --> 00:48:49.640]   A lot of money to spend on a phone a real interest in having something that's new and wonderful and third a very real use case for gee
[00:48:49.720 --> 00:48:54.440]   I want I need a phone that also becomes sort of something like a tablet but not quite a tablet
[00:48:54.440 --> 00:48:58.040]   I'm I'm just saying that if apple just if apple really made
[00:48:58.040 --> 00:49:02.360]   Uh a an iPhone that flips out into an iPad mini
[00:49:02.360 --> 00:49:08.680]   And it was anything close to affordable like for me when that would be $1,800
[00:49:08.680 --> 00:49:11.960]   That would be like above a thousand and under a 1500
[00:49:11.960 --> 00:49:16.760]   That would that would that would that would that would make me have to sit back and think hard about
[00:49:17.160 --> 00:49:19.320]   Whether I really really want to eat
[00:49:19.320 --> 00:49:22.040]   Meet a name brand
[00:49:22.040 --> 00:49:29.640]   You know that uh that generic cereal is very nearly as good as captain cranks and those plastic bags are so easy to pour from
[00:49:29.640 --> 00:49:34.760]   You know, it's called cap and crinkle for a reason half the money goes is the marketing budget seriously
[00:49:34.760 --> 00:49:38.600]   Just keep telling yourself that Andy just keep
[00:49:38.600 --> 00:49:43.480]   If I can have a folding iPhone folding mac mini iPad mini, I will do it
[00:49:43.480 --> 00:49:47.160]   I will I will eat the the I will eat the happy o's cereal for a year
[00:49:47.160 --> 00:49:51.880]   I just think somebody's there with a test phone opening shredding opening shredding opening shredding like that
[00:49:51.880 --> 00:49:55.400]   Just that's what they do all day to see like if this is actually oh, you know, they're doing that
[00:49:55.400 --> 00:50:01.160]   And even at apple just trying to figure it out. Yeah, is it only Samsung that makes those screens probably huh?
[00:50:01.160 --> 00:50:03.640]   Thanks for you, but that's right. Yeah apple
[00:50:03.640 --> 00:50:08.680]   Sources a lot of iPhone parts from Samsung. It's not not the end of the world. I think they'd make their own
[00:50:09.880 --> 00:50:14.760]   Somewhere else get corning to do it maybe and apple that they don't make they don't make their own panels anywhere
[00:50:14.760 --> 00:50:17.960]   Do they know they use what do they use now? Samsung's I think
[00:50:17.960 --> 00:50:21.400]   Yeah, I don't know. I think I do for some stuff
[00:50:21.400 --> 00:50:31.960]   This is a sad story. I don't somebody I didn't put it in but you guys
[00:50:31.960 --> 00:50:37.000]   You live out there in near hingham. Yeah, I think I know what you're talking about. Yeah, I put that in
[00:50:37.000 --> 00:50:38.280]   uh
[00:50:38.280 --> 00:50:40.280]   Unknown so
[00:50:40.280 --> 00:50:44.360]   On monday 10 45 a.m
[00:50:44.360 --> 00:50:50.120]   Uh, this was last monday, right? I mean it was oh, yeah, you're right. It wasn't this monday. It was no
[00:50:50.120 --> 00:50:52.760]   20 20th, you know, 21st
[00:50:52.760 --> 00:50:54.920]   Um
[00:50:54.920 --> 00:50:56.920]   And I didn't do the story then
[00:50:56.920 --> 00:51:00.440]   But it's very sad a car crashed into the apple store in hingham
[00:51:00.440 --> 00:51:03.160]   Uh one person died 16
[00:51:03.160 --> 00:51:05.480]   injured
[00:51:05.480 --> 00:51:07.800]   Kevin Bradley 65 in new jersey
[00:51:08.760 --> 00:51:10.760]   Was the guy who died?
[00:51:10.760 --> 00:51:11.720]   Um
[00:51:11.720 --> 00:51:14.040]   There's some question about though whether it was intentional
[00:51:14.040 --> 00:51:15.800]   Um
[00:51:15.800 --> 00:51:16.840]   the the
[00:51:16.840 --> 00:51:21.080]   investigation investigation is ongoing the person who crashed into the store claims that
[00:51:21.080 --> 00:51:27.240]   Uh, this it was a runaway or basically stuck accelerator or he and he's tried to he tried to stomp on the brakes
[00:51:27.240 --> 00:51:30.840]   But he couldn't but nothing happened. He got he
[00:51:30.840 --> 00:51:36.680]   Drug drug alcohol test was was clear. Uh, he certainly hasn't said anything about how
[00:51:37.640 --> 00:51:39.640]   He sees he claims it's an absolute accident
[00:51:39.640 --> 00:51:45.400]   Uh, and so it for now it does seem to be just it's it's the story is in one of those like sort of like
[00:51:45.400 --> 00:51:53.480]   Park moles that that that started. Yeah, I mean, it's not like the road ends at the store front you'd have to write so turn into it
[00:51:53.480 --> 00:51:59.960]   Yeah, so again, maybe he got the petals mixed up or or something like that. That's not unheard of but yeah
[00:51:59.960 --> 00:52:03.080]   I mean 16 to 20 people 16. I think we're it was full
[00:52:03.080 --> 00:52:05.560]   There's a full store imagine it was it was a full store
[00:52:05.960 --> 00:52:08.280]   um and the and the only the only
[00:52:08.280 --> 00:52:10.920]   The
[00:52:10.920 --> 00:52:12.920]   I did pay I did put it in as an update because
[00:52:12.920 --> 00:52:19.160]   Uh, I thought I was really really impressed and pleased with this with tim cook made a special trip out to the store
[00:52:19.160 --> 00:52:21.000]   to basically
[00:52:21.000 --> 00:52:24.920]   You know talk to people about what had happened and make sure the employees are okay
[00:52:24.920 --> 00:52:29.720]   Uh, I think that's appropriate. I'm really glad he did that. Yeah, I mean, that's and that's that
[00:52:29.720 --> 00:52:37.400]   A. That's not something that all CEOs will do because as a good CEO his time his or her time is so valuable down to the like
[00:52:37.400 --> 00:52:39.240]   Down to the five minutes
[00:52:39.240 --> 00:52:43.240]   And the fact that he that he put time on a schedule to fly out here
[00:52:43.240 --> 00:52:49.960]   And spend spend a day here. I think that's a very very human and healing thing for him to do and I
[00:52:49.960 --> 00:52:54.520]   That's the apple that I that I have faith in there's a go fund me
[00:52:56.120 --> 00:53:01.640]   fundraiser for uh, Kevin Bradley who was the man who died very sadly
[00:53:01.640 --> 00:53:05.400]   Um, he wasn't was he an employee or is he just visiting?
[00:53:05.400 --> 00:53:11.800]   Uh, he was a semi he was a contractor who's working doing some part of a company that was doing some work on the store
[00:53:11.800 --> 00:53:15.960]   Uh, and so he wasn't he some early reports as claimed that he was an apple employee
[00:53:15.960 --> 00:53:21.480]   But no, but he was he was there in a professional capacity you can search on go fund me for kevin
[00:53:21.480 --> 00:53:24.680]   Bradley and hang him and I think you'd find it pretty quickly
[00:53:25.560 --> 00:53:28.280]   Uh, my guess is is that knowing apple though within
[00:53:28.280 --> 00:53:36.040]   One to two years and any apple store that would have it's anywhere near a road will have some kind of barrier in front of them
[00:53:36.040 --> 00:53:38.840]   Like just like that like it'll it'll look that way to look really well designed
[00:53:38.840 --> 00:53:43.480]   You know, we have a point here, but it'll be things that are hard enough to stop cars like they they tend to
[00:53:43.480 --> 00:53:49.000]   Make those adjustments. Yeah, easy to fix probably not easy but fixable. I guess
[00:53:49.640 --> 00:53:55.960]   As a matter of fact, I think that I think the town government was actually moving towards that about having some some sort of a rule about having ballards
[00:53:55.960 --> 00:53:58.680]   In front of in front of stores exactly like that
[00:53:58.680 --> 00:54:04.440]   And there were a couple articles about hey jesus had this had passed like a year earlier or have been in fact right now this wouldn't have happened
[00:54:04.440 --> 00:54:07.000]   Um
[00:54:07.000 --> 00:54:11.320]   It is being investigated as a there is a criminal investigation. He has been charged
[00:54:11.320 --> 00:54:16.120]   Uh, the driver has been charged as you said he said his foot stuck
[00:54:16.120 --> 00:54:18.840]   But that's pretty easily provable
