;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[00:37:18.320 --> 00:37:22.760]   She's actually able to select that now. It's a fairly regular my main device. I will copy that
[00:37:22.920 --> 00:37:24.920]   So it's back to dress
[00:37:24.920 --> 00:37:29.880]   Remove that word there. Look at that. You copy text. I have to look at that copy that out
[00:37:29.880 --> 00:37:35.920]   It's so amazing Rosemary. That was really a great demo. So I'm excited
[00:37:35.920 --> 00:37:41.120]   I mean I have to by the way and somebody the chat was pointing this out. Thank you web 1802 or 7802
[00:37:41.120 --> 00:37:46.000]   That unlike Google and yeah Google lens does this Microsoft has office lens
[00:37:46.000 --> 00:37:51.680]   It does this but unlike Google Apple's exposing an API that will let any app on iOS do it
[00:37:51.680 --> 00:37:54.080]   And that's a big deal and that's a big difference
[00:37:54.080 --> 00:38:00.080]   And it forces them to do it privately as well like that way when Apple's been very clever about that this WDC
[00:38:00.080 --> 00:38:07.560]   They've made almost everything that they do including parental controls including all the lens stuff including all of the frameworks for their private relay stuff
[00:38:07.560 --> 00:38:13.440]   Including their new notification suppression system their focus thing and they're like you get permission for this
[00:38:13.440 --> 00:38:19.000]   But you have to follow these privacy regulations and if the user thinks that you're abusing it they get to turn you off
[00:38:19.080 --> 00:38:24.720]   You know which is what the what Apple could not do if people were rolling their own version these are using some
[00:38:24.720 --> 00:38:28.120]   Sketchy SDK from a third party. Yeah, yeah
[00:38:28.120 --> 00:38:32.840]   So okay, maybe I will I guess I'll do the public beta
[00:38:32.840 --> 00:38:34.360]   I'm not gonna do it on my iPhone
[00:38:34.360 --> 00:38:38.200]   But but I will I think I will do it on the on the on the I'm running it on my iPhone
[00:38:38.200 --> 00:38:43.720]   But I'm a well-known fool. Yeah your main phone like your your actual phone the phone you use every year
[00:38:43.720 --> 00:38:48.120]   You sometimes like sometimes I'm stuck with no signal and nothing but the time is great
[00:38:48.120 --> 00:38:51.200]   Well keep us up to date on how it's working because by July
[00:38:51.200 --> 00:38:56.400]   I don't I would I would definitely say I mean I guess if you have a developer account which you need to do this
[00:38:56.400 --> 00:38:59.520]   You know you're smart enough to know whether this is a good idea
[00:38:59.520 --> 00:39:04.680]   So what I do is I look at engineers that I know and if I see them doing any form of a head shake twitch
[00:39:04.680 --> 00:39:06.680]   I do not put on the bed
[00:39:06.680 --> 00:39:10.960]   Yeah, if they're smiling then I go ahead like 2019 I did not
[00:39:11.520 --> 00:39:15.600]   2020 there have been years where it has been a bad idea. Yeah. Yeah. Yeah. Yeah
[00:39:15.600 --> 00:39:20.360]   Ever since they've split ever since they've split it apart from
[00:39:20.360 --> 00:39:24.440]   General beta released to know this is a developer beta
[00:39:24.440 --> 00:39:28.960]   But this is a public beta. They've actually in the past few years at least in the past few years
[00:39:28.960 --> 00:39:33.640]   They have not been many scariest actually I don't think they've written any scary show stoppers
[00:39:33.640 --> 00:39:38.600]   We I mean the the the the the lady with the lamp in the middle of the harbor in this entire thing is
[00:39:38.600 --> 00:39:42.520]   Oh, remember that beta of Mac OS that actually destroyed all your the data in your hard drive
[00:39:42.520 --> 00:39:44.520]   But that was like ten years ago
[00:39:44.520 --> 00:39:50.840]   And that's the it's enough to make sure that you understand the rights and responsibilities of running beta software
[00:39:50.840 --> 00:39:56.960]   But I would say that if there's a specific feature that really think would it would turbo charge your workflow
[00:39:56.960 --> 00:40:03.320]   It's worth at least trying do we do one hell of a backup first and make sure you have a pull you're not doing it on the
[00:40:03.320 --> 00:40:05.240]   on a day that
[00:40:05.240 --> 00:40:11.560]   That you're kind of hosed if things go south on you, but I would not necessarily dissuade people from
[00:40:11.560 --> 00:40:16.280]   Installing a public beta again with certain with certain caveats installed
[00:40:16.280 --> 00:40:24.760]   Co Captain Jack in our discord or a club twit discord says that bat his battery life is suffering on the iPhone and the watch on the beta
[00:40:24.760 --> 00:40:29.320]   That it's noticeably different and that's not unusual. So you should be aware of that if you're gonna do it
[00:40:29.320 --> 00:40:32.840]   Because they're running a bunch of stuff in the background running a bunch of but collect
[00:40:33.640 --> 00:40:40.360]   Optimize for performance. It's all optimized for like developer beta right do not explode right right but yeah, you know
[00:40:40.360 --> 00:40:46.440]   So again my suggestion unless you're a developer in which case you know what you're doing to wait until next month
[00:40:46.440 --> 00:40:52.280]   And we'll get a report from Renee when he when the public beta comes out and we'll just watch him twitch or not
[00:40:52.280 --> 00:40:55.920]   And then that's what dowrymple does he takes me going to put it on does it work?
[00:40:55.920 --> 00:40:57.920]   And I'm like yeah
[00:41:00.520 --> 00:41:03.720]   Renee is definitely the first penguin. We all shove off the ice flow
[00:41:03.720 --> 00:41:09.400]   Bubbles of blood that okay, then we'll go in boy
[00:41:09.400 --> 00:41:14.280]   WWJD what would Jim dowrymple do JDD?
[00:41:14.280 --> 00:41:20.760]   Tell me look look to look to Renee here. Can't say no. It's Jim. See if he's floating
[00:41:20.760 --> 00:41:23.980]   We will we will tell your story Renee
[00:41:23.980 --> 00:41:25.980]   Thank you
[00:41:25.980 --> 00:41:35.060]   Hey, let's take a little break more to come lots more to talk about Renee Richie
[00:41:35.060 --> 00:41:40.140]   Andy and I go Alex taking the day off. He had some important business to do, but he'll be back next week
[00:41:40.140 --> 00:41:42.860]   Our show today brought to you by audible
[00:41:42.860 --> 00:41:46.940]   I love audible Andy. I know you love audible - oh yes
[00:41:46.940 --> 00:41:50.780]   Missed being able to talk about our audible pics of the week
[00:41:51.100 --> 00:41:54.700]   I am now knee deep in the wheel of time series
[00:41:54.700 --> 00:42:00.140]   All of them extremely lengthy. I finished the first one a mere 26 hours
[00:42:00.140 --> 00:42:04.620]   I think some of them are even longer, but I love for me what I love with audible. I love
[00:42:04.620 --> 00:42:07.420]   immersing myself in an audiobook
[00:42:07.420 --> 00:42:14.700]   Because an audible does a great job on the wheel of time they have multiple narrators and they it's just really well done and I just really
[00:42:14.700 --> 00:42:20.380]   I'm really loving it and I'm in that world, you know, and that's one of the things an audiobook I think could do for you
[00:42:21.180 --> 00:42:25.180]   Uh is immerse you in that experience while you're at the beach
[00:42:25.180 --> 00:42:30.460]   You better believe we're going to Hawaii next month. I'm taking audible and it's not just audiobooks
[00:42:30.460 --> 00:42:36.780]   Oh man audible plus has all kinds of content now if you're looking for a summer partner
[00:42:36.780 --> 00:42:41.420]   To take along on your next trip now that we are going out of the house
[00:42:41.420 --> 00:42:48.220]   Actually, I listened to just as much audible when I was stuck in the house maybe more now is the absolute best time to do it prime members
[00:42:49.420 --> 00:42:54.380]   If you're an amazon prime member, you can say 53 on your first four months
[00:42:54.380 --> 00:42:58.380]   So that is a big offer right now only from
[00:42:58.380 --> 00:43:04.300]   Audible with audible you can listen to more of whatever you're into because audible has it all an unbeatable selection of audiobooks
[00:43:04.300 --> 00:43:09.340]   tons of binge worthy podcasts many ad-free exclusive originals
[00:43:09.340 --> 00:43:14.540]   Uh like project hail mary, which is an audible exclusive and he weird loves audible
[00:43:14.540 --> 00:43:17.740]   He gave them their right to record it and man it is a great
[00:43:18.380 --> 00:43:19.340]   great
[00:43:19.340 --> 00:43:27.260]   Listen almost said read listen least it just finished it too and we loved it all available download or stream on your phone on your device
[00:43:27.260 --> 00:43:30.940]   We listen audible on our home pods on my home pond mini
[00:43:30.940 --> 00:43:34.860]   Because it comes right off of the iphone is just great as an audible member
[00:43:34.860 --> 00:43:39.420]   You could choose a title a month like the latest bestseller the hottest new release yours to keep forever
[00:43:39.420 --> 00:43:44.860]   But you also get full access to audible streaming library. That's the plus catalog i mentioned
[00:43:45.500 --> 00:43:52.220]   Discover your next podcast obsession check that audiobook off your bucket list get lost in a world of original content
[00:43:52.220 --> 00:43:55.740]   From celebrity creators best-selling authors leading experts
[00:43:55.740 --> 00:43:57.820]   the classics
[00:43:57.820 --> 00:44:01.980]   The classics too like robert jordan's amazing wheel of time series. This is the kind of stuff
[00:44:01.980 --> 00:44:07.260]   You just don't get anywhere else stream all you want as much as you want. It's the perfect companion for summer
[00:44:07.260 --> 00:44:14.140]   Because you know even when i'm riding my bike i have audio in my helmet and i play audible through my helmet
[00:44:14.540 --> 00:44:17.180]   When i'm barbecuing especially those long smokes
[00:44:17.180 --> 00:44:22.780]   When i have it when i'm when i'm when i'm doing a brisket you better believe audible comes along
[00:44:22.780 --> 00:44:24.620]   What are you listening to these days? Andy
[00:44:24.620 --> 00:44:30.460]   I'll tell you what i just downloaded yesterday invisible women data bias in a world designed for men
[00:44:30.460 --> 00:44:32.940]   uh just showing how
[00:44:32.940 --> 00:44:39.340]   pervasive these problems are about how there is this uh like a town meeting town board of supervisors meeting
[00:44:39.340 --> 00:44:40.940]   in the
[00:44:40.940 --> 00:44:46.060]   Uh in northern europe at which they're talking about exactly this issue and one of the commissioners was like joker
[00:44:46.060 --> 00:44:49.420]   nurazi josh at least at least our snow plows don't show any gender bias
[00:44:49.420 --> 00:44:54.300]   And then they said huh actually we haven't looked at that and they looked at that and they discovered that well
[00:44:54.300 --> 00:44:56.540]   There actually is because
[00:44:56.540 --> 00:45:03.660]   We send our snow plows out to plow highways and like main thoroughfares to like businesses first when disproportionately
[00:45:03.660 --> 00:45:08.540]   Women like are you taking public transportation or walking or their own personal transportation?
[00:45:08.780 --> 00:45:13.740]   We should like shift some of we should shift some of the priority to local streets and sidewalks and after they did that
[00:45:13.740 --> 00:45:16.380]   They found out that they were actually saving a lot of money
[00:45:16.380 --> 00:45:21.820]   By like people in the in the local economy and this is the sort of stuff that never
[00:45:21.820 --> 00:45:25.900]   For for most people including people who look and sound like me
[00:45:25.900 --> 00:45:30.700]   It doesn't occur to you even if you feel as though you're you're pretty aware person
[00:45:30.700 --> 00:45:33.740]   And it needs you need these case studies and someone who is this
[00:45:33.740 --> 00:45:34.780]   uh
[00:45:34.780 --> 00:45:41.580]   Who can communicate about them in such a broad way to really really open your eyes wider than they've been opened before
[00:45:41.580 --> 00:45:48.380]   It's always dangerous when I go to the audible sites and then I ran across this bitter blood casem versus casem
[00:45:48.380 --> 00:45:52.860]   Uh a podcast about the bitter battle over kasey casams
[00:45:52.860 --> 00:46:00.940]   Inheritance uh he left about a hundred million dollars when the great american dj passed and his family fought bitterly over it
[00:46:01.180 --> 00:46:05.660]   I you know what gonna have to add that the nice thing is that's included with my audible plus subscription
[00:46:05.660 --> 00:46:10.220]   So it's an easy thing to add audible's just great. I just finished the eye of the world
[00:46:10.220 --> 00:46:13.820]   29 hours at 57 minutes. So let's call it 30 hours
[00:46:13.820 --> 00:46:17.580]   Oh good. The one i'm in the middle of now the great hunt is only 26 hours
[00:46:17.580 --> 00:46:21.500]   Then the next one's 24 hours the next one's 41 hours
[00:46:21.500 --> 00:46:26.780]   It's like he was getting paid by the but the word but I tell you what it's great listening
[00:46:27.500 --> 00:46:31.580]   Audio books. I just love them. I've been an audible member since 2000
[00:46:31.580 --> 00:46:35.900]   That's a lot it's 21 years of audible and I have never
[00:46:35.900 --> 00:46:39.580]   Regretted one minute of it for limited time amazon prime members
[00:46:39.580 --> 00:46:43.420]   You could save 53 on four months of audible just 695 a month
[00:46:43.420 --> 00:46:46.620]   If you're not an amazon prime member go to audible and sign up
[00:46:46.620 --> 00:46:52.220]   So for amazon prime so you can hit this deal and much more get out of summer with audible prime days coming up
[00:46:52.220 --> 00:46:53.500]   Isn't it next week?
[00:46:53.500 --> 00:46:56.460]   Take advantage of an incredible limited time offer go to audible
[00:46:56.460 --> 00:47:00.300]   Dot com slash mac break a ud i bl a audible
[00:47:00.300 --> 00:47:02.140]   Dot com
[00:47:02.140 --> 00:47:05.420]   Slash mac break and if that prime deal has ended
[00:47:05.420 --> 00:47:08.540]   Because you're listening to this podcast later. Don't worry
[00:47:08.540 --> 00:47:13.100]   You can try audible plus for 30 days with a free trial at audible dot com slash mac break
[00:47:13.100 --> 00:47:16.380]   That's actually a great way to do it because you can listen to hundreds
[00:47:16.380 --> 00:47:18.620]   I think thousands of different audio content
[00:47:18.620 --> 00:47:21.020]   Um, so it's a really great way to sample audible
[00:47:21.500 --> 00:47:26.460]   Or you can just text mac break to 500 500 that's the shortcode 500 500
[00:47:26.460 --> 00:47:30.780]   Text mac break or audible dot com slash mac break. We love audible
[00:47:30.780 --> 00:47:32.860]   We really do
[00:47:32.860 --> 00:47:34.700]   It's genuine
[00:47:34.700 --> 00:47:37.500]   Thank you audible for uh returning to our show
[00:47:37.500 --> 00:47:42.060]   And supporting our podcast. Thank you for supporting the podcast by going to audible.com
[00:47:42.060 --> 00:47:45.980]   Mac break that makes a big difference. It really does
[00:47:45.980 --> 00:47:47.980]   Uh
[00:47:47.980 --> 00:47:53.340]   Okay, I I wanted to ask rene about this one. I don't know if you have a thought on it or not the secret
[00:47:53.340 --> 00:47:57.020]   M one apple co-processor. It's kind of a link baity
[00:47:57.020 --> 00:48:01.260]   title, but a developer named dougal johnson has
[00:48:01.260 --> 00:48:03.900]   Discovered that there is a
[00:48:03.900 --> 00:48:07.980]   Matrix co-processor the amx apple matrix co-processor
[00:48:07.980 --> 00:48:10.860]   Inside the m one that is not neither documented
[00:48:10.860 --> 00:48:15.420]   Nor revealed and the basic explanation of this is that arm
[00:48:16.140 --> 00:48:21.740]   Which apple has an arm architecture license arm allows companies to add additional
[00:48:21.740 --> 00:48:26.380]   Microcode but not to make it public because they don't want to fragment
[00:48:26.380 --> 00:48:28.460]   the arm
[00:48:28.460 --> 00:48:32.220]   You know ecosystem. So a company like apple
[00:48:32.220 --> 00:48:36.940]   Can say look what we really need is more instructions like matrix processing instructions
[00:48:36.940 --> 00:48:40.060]   Which are used for artificial intelligence and gaming and all sorts of stuff
[00:48:40.060 --> 00:48:42.460]   We want to add some instructions
[00:48:42.540 --> 00:48:47.020]   We keep them private in a private library developers have access to it through the library
[00:48:47.020 --> 00:48:52.780]   But it doesn't fragment the ecosystem and that's I think correct me if i'm wrong
[00:48:52.780 --> 00:48:56.220]   What this amx is doing
[00:48:56.220 --> 00:48:58.940]   Is that right rene i get that right i beg the premise
[00:48:58.940 --> 00:49:01.420]   Yeah, but i beg the premise of the article
[00:49:01.420 --> 00:49:07.340]   Uh or the the discovery because apple's been really upfront about the amx they've had it up on stage numerous
[00:49:07.340 --> 00:49:11.900]   We'll never mind they've just linked it. Yeah, no, it got me. I really didn't get yeah
[00:49:12.860 --> 00:49:18.140]   Um, but the reason like the thing is that and it it highlights another part of the part of the problem is that
[00:49:18.140 --> 00:49:24.700]   For some reason apple people some people don't want to give apple any credit for like the m1 or the a14 or any of these
[00:49:24.700 --> 00:49:30.940]   Oh, it's just a arm. We just took all the arm chip. Yeah, yeah, but like when they talk about amd they never say oh the x86
[00:49:30.940 --> 00:49:35.820]   They just they say amd when they say intel like i just say apple like because that's the parody here
[00:49:35.820 --> 00:49:40.620]   No one's looking at a ps5 and saying oh, it's such great x86 inside that thing
[00:49:40.620 --> 00:49:42.780]   It's no it's a really good arm. Um amd
[00:49:42.780 --> 00:49:45.420]   CPU for
[00:49:45.420 --> 00:49:53.340]   Soc and and one of the reasons is apple switched from their design license after the a5 and god an architecture license
[00:49:53.340 --> 00:49:56.140]   And they have as far as i know one of the most permissible
[00:49:56.140 --> 00:50:00.700]   Architecture licenses available and they can do all sorts of custom things with it
[00:50:00.700 --> 00:50:03.980]   And the whole reason arm is doing v9 now the upcoming arm v9
[00:50:03.980 --> 00:50:09.820]   Instruction said architecture is to backport a lot of the things apple did because they were such a high volume
[00:50:10.300 --> 00:50:13.980]   Premiums like they just had to solve a lot of problems that arm hadn't had to solve yet
[00:50:13.980 --> 00:50:18.860]   They are bringing all of those things or many of those things like the security the neural technology all of those
[00:50:18.860 --> 00:50:22.700]   To everybody at arm not in exactly the same way, but they thought good idea
[00:50:22.700 --> 00:50:24.940]   It's let's propagate them, but a lot of that stuff
[00:50:24.940 --> 00:50:31.340]   It's it's an arm instruction set that apple is using is a very small part of the cpu that they're still using
[00:50:31.340 --> 00:50:34.060]   And i find all this the banter around it fascinating
[00:50:34.060 --> 00:50:37.900]   Is it the case then that there are there are probably many more
[00:50:39.100 --> 00:50:42.700]   Extensions like this to the architecture that just you know apple
[00:50:42.700 --> 00:50:46.140]   For completely appropriate reasons keeps to itself
[00:50:46.140 --> 00:50:48.860]   Is that makes sense that this is just one of many
[00:50:48.860 --> 00:50:53.100]   Yeah, like i'm sure the i like they keep their silicon ip really
[00:50:53.100 --> 00:50:58.860]   People go and shoot the dies, you know for a reason right um, but the case of the of the amx apple matrix
[00:50:58.860 --> 00:51:06.780]   Multipliers they decided that just an apple neural engine wasn't enough that there were some cases where the cpu was better tasked or the gpu
[00:51:06.940 --> 00:51:14.700]   Better tasked so they created a machine learning controller the same way they had a performance controller to decide which tasks needed big cores versus small cores
[00:51:14.700 --> 00:51:20.460]   They have a machine learning controller that decides this this particular ai task is better suited for
[00:51:20.460 --> 00:51:27.100]   The compute cores in the cpu or the compute cores in the gpu or the the dedicated cores in the ane
[00:51:27.100 --> 00:51:31.180]   And then it moves things around it round trips them and because of unified memory
[00:51:31.180 --> 00:51:35.020]   It's an incredibly efficient process and that gives them a lot of advantages, but
[00:51:35.660 --> 00:51:39.740]   It's like this has been on slides for two three years already. It's good link bait and i fell for it
[00:51:39.740 --> 00:51:44.940]   I mean i have to say for years i bought the windows secrets books for the same reason secret apis
[00:51:44.940 --> 00:51:50.140]   Have always been a fascination of developers apple and microsoft both have done this for years
[00:51:50.140 --> 00:51:57.500]   And you know sometimes they're accused of keeping them to themselves like we have a secret api so that our programs will work better
[00:51:57.500 --> 00:52:01.340]   Than your programs i don't think that's the ever been the case with apple
[00:52:01.820 --> 00:52:07.100]   They they expose those in the libraries and you don't have to know about amx
[00:52:07.100 --> 00:52:12.940]   It just happens automatically just like all microcode happens abstracted right? Yeah, unless you're right in assembly language
[00:52:12.940 --> 00:52:18.300]   It's always abstracted. Yeah, so i don't let apple move things around under the covers like we just see the interface
[00:52:18.300 --> 00:52:23.100]   But they can keep changing the pipes they can put in better pipes and your stuff still works because you're not targeting a pipe
[00:52:23.100 --> 00:52:25.980]   Targeting the junction in front of it. Well, and in fact
[00:52:25.980 --> 00:52:30.540]   For years there have been hidden or deprecated
[00:52:31.260 --> 00:52:33.260]   api calls even
[00:52:33.260 --> 00:52:38.140]   Uh and apple will say don't use these and for years developers have used them anyway
[00:52:38.140 --> 00:52:43.980]   And then their software breaks when the new operating system comes out a new hardware comes out and they get all up in arms
[00:52:43.980 --> 00:52:46.380]   But you shouldn't have used them
[00:52:46.380 --> 00:52:52.220]   The apple watch moved from 32 bit to 64 bit with zero developer stress at all it was managed because of bitco
[00:52:52.220 --> 00:52:54.620]   Not remarkable in today's park the texture world
[00:52:54.620 --> 00:52:58.700]   Sorry just just quickly to be fair the reason why people developers
[00:52:59.100 --> 00:53:03.020]   Keep using these old api's is because they work. Yeah, and they're faster often
[00:53:03.020 --> 00:53:09.260]   Yeah, they work and oftentimes when apple gives them something they want to replace it with that thing doesn't work or it's not appropriate for
[00:53:09.260 --> 00:53:10.860]   for their task
[00:53:10.860 --> 00:53:17.740]   Uh and just just getting back a moment to talk about apple has the special co-processor that they they haven't documented
[00:53:17.740 --> 00:53:20.700]   Uh, that's that's that's that's bunkum, of course
[00:53:20.700 --> 00:53:26.780]   But of course the they also do they also hold certain entitlements for for app permissions to themselves
[00:53:27.180 --> 00:53:31.100]   So that they can their apps can do things that they don't let other third party apps do or
[00:53:31.100 --> 00:53:35.420]   They will only let us very very small handful of blue chip apps
[00:53:35.420 --> 00:53:42.140]   Do this do this function this one way or give them an exception to an app store rule for for api use that they
[00:53:42.140 --> 00:53:44.860]   Won't let the general public use in the developer community
[00:53:44.860 --> 00:53:51.740]   So that's oftentimes one of the reasons why the reasons why if there is like a metal cabinet anywhere near a developer's desk and has a
[00:53:51.740 --> 00:53:55.900]   Forehead shape dent in it. That's one of the reasons why that dent is there
[00:53:56.140 --> 00:53:58.140]   uh
[00:53:58.140 --> 00:54:07.180]   So I I have to say I think uh apple is has kind of has his house in order with regard to this
[00:54:07.180 --> 00:54:13.420]   And uh the gee rambo's finding this stuff anyway like within three minutes when you beta coming out anything that they didn't tell us is
[00:54:13.420 --> 00:54:15.500]   Is posted on the internet anyway? Yeah
[00:54:15.500 --> 00:54:18.140]   There is the issue though
[00:54:18.140 --> 00:54:22.780]   In fact, I just read a really good article on let me see if I can pull it up
[00:54:23.580 --> 00:54:32.060]   Um of of documentation the uh, this is from the eclectic light company blog the elephant at ww dc
[00:54:32.060 --> 00:54:33.660]   um
[00:54:33.660 --> 00:54:41.020]   He he reminds us that in the early years of the mac it had the best documentation ever it had a full series of books
[00:54:41.020 --> 00:54:43.580]   In fact, I have a home the inside macintosh
[00:54:43.580 --> 00:54:49.180]   uh published by atus and wesley written by people like scott kennaster and really good technical authors
[00:54:49.180 --> 00:54:51.660]   working with apples engineers they
[00:54:52.620 --> 00:54:58.300]   They were so elegant and so beautiful and it was so much fun to code on a mac because it was so well documented
[00:54:58.300 --> 00:55:00.860]   apples kind of fallen away from this a little bit
[00:55:00.860 --> 00:55:08.300]   He points out that the documentation for the apple file system a pf s is zero to terrible
[00:55:08.300 --> 00:55:16.620]   And uh, and you know basically unusable, but apple is attempting and on the other hand, there's the platform security guide which is very well written
[00:55:16.620 --> 00:55:20.700]   And the new inclusivity guidelines from the interface are amazing
[00:55:21.100 --> 00:55:24.700]   So but he said one of the things uh that he did note
[00:55:24.700 --> 00:55:32.220]   This year is that apple is recognizing the problem and is starting to do a better job of documenting
[00:55:32.220 --> 00:55:40.380]   Um, they were incredibly undermanned for especially when apple split out into the multiple operating systems before like they really had to document ios and macos
[00:55:40.380 --> 00:55:45.980]   That was about it and then they went through this rapid expansion of adding watch os and tv os is a distinct thing
[00:55:45.980 --> 00:55:50.140]   um, and now they have you know things that are basically audio os and
[00:55:50.860 --> 00:55:57.260]   There's there's so much and that their teams were so traditionally so small apple had bankruptcy mentality for so long and also
[00:55:57.260 --> 00:56:02.620]   You know individual incubator startups within the company mentality that they just did not have enough bodies to throw at this stuff
[00:56:02.620 --> 00:56:08.700]   And I think they recognized that two years ago. It was so painful so painful with lack of documentation that
[00:56:08.700 --> 00:56:11.980]   They're trying to be more aggressive in in building that up
[00:56:11.980 --> 00:56:14.780]   But I think just based on apples culturally they run things
[00:56:14.780 --> 00:56:20.460]   They don't disclose people like really early like there's a whole bunch of things that get in the way of this stuff and they're gonna have to really figure out
[00:56:20.460 --> 00:56:26.940]   It's hard. Well, it's historically very hard. The last thing a programmer wants to do is his right documentation
[00:56:26.940 --> 00:56:29.340]   um, he he says um
[00:56:29.340 --> 00:56:32.700]   That this new uh, d o c c
[00:56:32.700 --> 00:56:38.620]   framework this developer documentation framework. I guess it's doc c is probably how I should
[00:56:38.620 --> 00:56:43.340]   Read it, which is a documentation compiler that started in x code 13
[00:56:43.340 --> 00:56:46.460]   Allows you to do something called literate programming
[00:56:46.460 --> 00:56:50.220]   I've been a fan of literate programming since donald can you throw it about it?
[00:56:50.220 --> 00:56:56.060]   I was a scientific american. He would wrote a published an article idea being instead of writing code
[00:56:56.060 --> 00:57:01.820]   You basically are writing the documentation with bits of code in the documentation and use a tool
[00:57:01.820 --> 00:57:04.620]   That will then compile the documentation
[00:57:04.620 --> 00:57:12.220]   And in effect you've you've written the documentation while you're writing the code and that's what doc c does it converts mark downbase text
[00:57:12.620 --> 00:57:18.620]   Into rich documentation for the swift frameworks and the packages as they're writing it
[00:57:18.620 --> 00:57:21.580]   And so there's a lot of promise here
[00:57:21.580 --> 00:57:23.900]   um, he points out
[00:57:23.900 --> 00:57:30.700]   Uh, deo c doc c. Yeah, we said deo c c. He doc c looks exciting and demonstrates that apple recognizes its problem
[00:57:30.700 --> 00:57:33.900]   But then he points out of a few traps
[00:57:33.900 --> 00:57:36.380]   um, but this is um
[00:57:36.380 --> 00:57:38.540]   This is going to be very
[00:57:38.540 --> 00:57:44.300]   Interesting to see if if he follows if apple follows through on this because this is probably the right way
[00:57:44.300 --> 00:57:49.580]   To write code. You just have to convince developers. They need to start writing literate code
[00:57:49.580 --> 00:57:52.060]   Um
[00:57:52.060 --> 00:57:54.060]   And you know what it's good for everybody
[00:57:54.060 --> 00:57:57.500]   He writes doc c is really an a plaintiff cry for help
[00:57:57.500 --> 00:58:01.660]   Teams are still trying to fill the yawning chasm ironically one of the best new man pages
[00:58:01.660 --> 00:58:03.180]   I've read in a long time
[00:58:03.180 --> 00:58:07.100]   Is that for bpu till a command tool which apple repeatedly warns?
[00:58:07.500 --> 00:58:09.660]   Shouldn't be used except experimentally
[00:58:09.660 --> 00:58:12.460]   But but those are exceptions for every instance like that
[00:58:12.460 --> 00:58:17.900]   There are tens of man pages which haven't been updated for years and now don't match their usage information
[00:58:17.900 --> 00:58:23.340]   Um two failings still trouble apple and its amazing products bugs and documentation
[00:58:23.340 --> 00:58:28.620]   Without scoring up to both and changing course they can only get worse. I think apple has a path forward
[00:58:28.620 --> 00:58:30.620]   I think that's the point of doc c
[00:58:30.620 --> 00:58:32.060]   Yeah
[00:58:32.060 --> 00:58:34.060]   I hope that it continues
[00:58:34.380 --> 00:58:39.900]   It's too bad. This is kind of a recurring problem that cuts across a lot of different products everybody's problem
[00:58:39.900 --> 00:58:46.460]   Yeah, well, not not just the specific problem we've been talking about where but where apple who has a mence
[00:58:46.460 --> 00:58:50.940]   Resources who if they want to create a car division they can hire up and create a car division
[00:58:50.940 --> 00:58:52.700]   But you often hear about
[00:58:52.700 --> 00:58:58.860]   Well, the reason why this feature is late for was if it was late for mac OS because they had a pull all kinds of all kinds of mac OS team members
[00:58:58.860 --> 00:59:01.260]   Off to get ipad OS or to get ios running
[00:59:01.980 --> 00:59:09.260]   It's it's it's I do I do agree that I think that there's a shortage of of bodies working on documentation and other simple things
[00:59:09.260 --> 00:59:15.740]   And I think that one of the when the few logistical problems that apple has traditionally had is they don't know how to put
[00:59:15.740 --> 00:59:22.220]   Bodies into into the right seats how to add seats to the right offices to make sure everything runs smoothly
[00:59:22.220 --> 00:59:28.620]   They had not one not two not three but four sessions at ww dc about using doc c so
[00:59:29.180 --> 00:59:34.940]   I'm very hopeful. This is kind of what it will look like which is you're you're writing in your comments
[00:59:34.940 --> 00:59:37.660]   Uh, you're writing
[00:59:37.660 --> 00:59:44.700]   It's it's more than just good comments ultimately what what I think the goal of literate programming is to write prose that turns into code
[00:59:44.700 --> 00:59:49.900]   But uh, but good commenting would be a start and then the compiler will automatically extract that
[00:59:49.900 --> 00:59:55.740]   That's widely done in other platforms widely done and unix as well an open source
[00:59:56.620 --> 01:00:03.740]   So doc c let's do it guys. Let's get on it. I'd love to touch talk to rich seagull. We got to get rich on again
[01:00:03.740 --> 01:00:07.740]   Um, I'd love to talk to him. He's in paris
[01:00:07.740 --> 01:00:11.420]   No, no, no and he's parrots. Okay. Yeah
[01:00:11.420 --> 01:00:15.980]   Someone I I I'm I'm just messaging him now just to
[01:00:15.980 --> 01:00:20.940]   Time network. We're saying we're saying nice things about him. I'd love to know you know what he thinks about all of this
[01:00:20.940 --> 01:00:26.060]   Because he's this is this is the he's inside. You know inside. Yeah, I'm sure he has the whole inside mac bookshelf
[01:00:26.060 --> 01:00:32.860]   He's the original. Yeah rich rich seagull. There's there's a justice league of uh, apple programmers out there
[01:00:32.860 --> 01:00:38.220]   Uh men women every kind that have been doing this for 20 years that know it inside and out
[01:00:38.220 --> 01:00:43.180]   They know the culture inside and out they have the requisite dense in the file cabinets in their offices
